CustomerID,AveMonthSpend
11000,89
11001,117
11002,123
11003,50
11004,95
11005,78
11006,54
11007,130
11008,85
11009,74
11010,49
11011,146
11012,55
11013,84
11014,49
11015,39
11016,68
11019,64
11020,64
11023,71
11024,77
11025,70
11026,63
11027,76
11028,43
11031,43
11032,42
11033,58
11034,39
11035,50
11036,52
11037,46
15127,73
11040,65
11041,51
11042,55
11043,77
11044,76
11045,63
11046,48
11047,43
11049,41
11050,73
11051,64
11052,49
11053,51
11054,43
11055,75
11056,46
11057,82
11058,87
11059,45
11060,87
11061,84
11062,71
11063,40
11064,76
11065,48
11066,50
11067,70
11070,87
11071,51
11072,52
11073,51
11074,74
11075,51
11076,73
11077,55
11078,48
11079,87
11080,92
11081,76
11082,62
11083,68
11085,47
11086,98
11088,104
11089,57
11090,76
11091,82
11093,58
11094,78
11095,77
11096,87
11097,80
11098,54
11099,83
11100,46
11101,47
11102,89
11103,49
11104,85
11105,52
11106,74
11107,54
11109,79
11110,74
11111,56
11112,51
11113,142
16475,61
11115,141
11116,140
11117,84
11119,58
11120,37
11122,143
11123,140
11124,80
11125,46
11126,75
11127,46
11129,37
11130,48
11131,44
11132,40
11133,34
11134,64
11135,63
11136,46
11137,47
11138,45
11139,39
11140,69
11141,43
11142,73
11143,70
11144,64
11145,37
11146,47
11147,78
11148,67
11149,71
11150,69
11151,46
11152,72
11153,42
11154,38
11155,68
11157,50
11158,65
11159,40
11160,69
11161,44
11163,66
11164,64
11165,52
11166,46
11169,141
11170,91
11171,80
11172,55
11173,51
11174,109
11175,70
11176,148
11177,144
11179,91
11180,73
11181,126
11182,39
11183,51
11184,42
11185,48
11186,46
11187,49
11188,52
11189,75
11190,77
11191,47
11192,79
11193,73
11194,51
11195,52
11196,75
11197,57
11198,54
11199,59
11200,96
11201,57
11202,55
11203,83
11204,53
11205,53
11206,94
11208,54
11209,57
11210,100
11211,53
11212,53
11213,51
11214,84
11216,53
11217,55
11218,54
11219,92
11220,57
11221,110
11222,65
11223,60
11224,52
11225,53
11226,59
11227,92
11228,63
11229,96
11230,68
11231,89
11232,58
11233,108
11234,58
11235,109
11236,107
11237,126
11238,80
11239,98
11240,88
11241,80
11242,153
11243,89
11244,81
11245,147
11246,99
11248,157
11249,94
11250,98
11251,55
11252,71
11253,72
11254,71
11256,44
11257,59
11259,65
11260,80
11261,79
11262,89
11263,99
11264,154
11265,98
11266,51
11267,115
11268,80
11269,119
11270,119
11271,53
11272,73
11273,105
11274,61
11275,48
11276,86
11277,134
11279,55
11279,52
11280,92
11281,74
11282,146
11283,136
11285,141
11286,93
11287,140
11289,85
11290,88
11291,89
11292,112
11293,71
11294,84
11295,47
11296,47
11297,68
11298,73
11299,72
11300,152
11301,145
11302,120
11303,75
11304,83
11305,137
11306,142
11307,88
11308,75
11309,46
11310,51
11311,46
11312,51
11313,79
11314,51
11315,53
11316,83
11317,42
11318,47
11319,47
11320,50
11321,76
11322,52
11324,78
11325,72
11326,117
11328,79
11329,71
11330,140
11333,51
11334,43
11335,42
11336,76
11337,69
11338,76
11339,65
11340,36
11341,61
11342,80
11343,63
11344,43
11345,33
11346,40
11347,61
11348,68
11349,37
11350,42
11351,38
11352,58
11353,41
11354,37
11355,75
11357,55
11358,42
11359,53
11360,57
11361,39
11362,60
11363,56
11364,47
11365,51
11366,38
11367,62
11368,73
11369,44
11370,37
11371,41
11372,47
11374,69
11375,68
11376,68
11378,48
11379,76
11380,64
11381,41
11382,62
11383,53
